E-code,Ten loi,Module,Muc do,Latching,Trigger,Firmware da tu lam gi,Interlock,Nguoi van hanh,Goi ky thuat khi
121,DO AM CAO,Dieu khien do am,Canh bao,Khong,"Vuot nguong cau hinh","Bao ngay","Khong khoa gi","Kiem tra thong gio",""
130,TAT CONG TAC NHIET,Cong tac cho phep nhiet,Stop,Khong,"Cong tac Heater tat giua me","Bao ngay","Cat SSR+contactor tong","Kiem tra cong tac Heater",""
132,CAN CHUYEN SANG AUTO,Quan ly me ap (Resume),Canh bao,Khong,"Cho ap lai nhung AUTO chua bat","Bao ngay","Khong khoa gi (chi chan Resume)","Gat sang AUTO",""
133,AUTO BI TAT GIUA ME,Che do van hanh,Stop,Khong,"AUTO gat sang MANUAL giua me","Tre chong nhieu 120000 ms","Khoa dao trung, giu dieu khien nhiet","Gat lai AUTO neu nham",""
134,TU DONG DAO BI TAT,Dao trung,Stop,Khong,"turningEnabled tat giua me","Bao ngay","Khoa dao trung","Bat lai Tu dong dao neu nham",""
135,CHO XAC NHAN AP LAI,Quan ly me ap (Resume),Canh bao,Khong,"Man hinh Ap lai me cu qua 15 phut chua xac nhan","Cho du 900000 ms moi bao","Khong khoa gi","Xac nhan Dong y/Huy tren HMI/Web",""
136,ME QUA HAN AP,Quan ly me ap,Canh bao,Khong,"So ngay ap thuc te vuot cau hinh","Bao ngay khi qua nguong","Khong khoa gi","Kiem tra ke hoach ap thuc te",""
201,LOI 2 HANH TRINH,Co cau dao trung,Stop,Co (can ACK HMI),"Ca 2 cong tac hanh trinh cung tich cuc","Bao ngay","Khoa dao trung","Kiem tra 2 cong tac hanh trinh/day, ACK","Tai dien ngay sau ACK"
202,DAO QUA THOI GIAN,Co cau dao trung,Stop,Co (can ACK HMI),"Chay qua turnMaxRunSec chua cham hanh trinh","Theo doi timeout truoc khi bao","Khoa dao trung","Kiem tra co cau/day dai/dong co, ACK","Lap lai - co the la dau hieu som cua E205"
203,HANH TRINH BI KET,Co cau dao trung,Stop,Co (can ACK HMI),"Cong tac hanh trinh khong nha sau khi dung lenh","Theo doi truoc khi bao","Khoa dao trung","Kiem tra cong tac hanh trinh, ACK","Lap lai - co the la dau hieu som cua E205"
204,XUNG DOT LENH DAO,Co cau dao trung,Stop,Co (can ACK HMI),"Lenh dao trai/phai xung dot","Bao ngay","Khoa dao trung","Kiem tra khong bam dong thoi 2 cong tac, ACK",""
205,CAN KIEM TRA CO KHI DAO,Co cau dao trung,Stop,Dac biet - KHONG nhan ACK thuong,"3 lan lien tiep 202/203 khong co thanh cong xen giua","Dem chuoi loi truoc khi nang cap","Khoa dao trung hoan toan","Dung me, vao Test Mode xac nhan 2 cong tac hanh trinh","Test Mode cung that bai"
301,MAT EEPROM,Bo nho cau hinh/me ap,Stop,Co (can ACK HMI),"Loi 3 lan lien tiep khi khong chay me","Retry I/O, reconnect moi 3000 ms","Cat SSR+contactor tong","Khong mo tu dien, ghi lai thoi diem","Ngay khi thay ma nay"
302,EEPROM SUY GIAM,Bo nho cau hinh/me ap,Canh bao,Khong,"Loi 1-2 lan lien tiep","Retry truoc khi bao","Khong khoa neu dang chay me (dieu khien tu RAM)","Theo doi them",""
303,RESET BAT THUONG,He thong dieu khien (chip),Stop,Co (can ACK HMI),"esp_reset_reason = PANIC/WDT/BROWNOUT","Khong tu phuc hoi - can ACK","Cat SSR+contactor tong cho toi ACK","Kiem tra nguon dien, ACK sau khi kiem tra","Lap lai nhieu lan"
304,XUNG DOT OUTPUT,Dieu khien dau ra,Khan cap,Co (can ACK HMI),"2 dau ra loai tru nhau cung bat","Bao ngay","Cat toan bo nhiet, ep quat, khoa dao","Khong tu xu ly - dung may","Ngay lap tuc"
305,RELAY QUA NHIEU,Relay dau ra,Canh bao,Co (can ACK HMI),"Relay dong/cat vuot tan suat cho phep","Dem tan suat truoc khi bao","Khong khoa output","ACK tren HMI","Lap lai thuong xuyen"
306,LOI RTC,Dong ho thoi gian thuc,Canh bao,Khong,"OSF=1 hoac du lieu khong hop le","Tu sua co dieu kien (shadow clock) truoc khi bao","Khong khoa gi","Kiem tra/chinh gio thu cong","Lap lai lien tuc (nghi het pin)"
313,CHUA XOA DU LIEU ME,Bo nho me ap,Stop,Khong,"Da dung/huy me nhung EEPROM chua xac nhan ghi","Retry ghi truoc khi bao","Cat SSR+contactor tong","Cho - may dang tu thu ghi lai","Khong tu het sau vai phut"
314,LOI NHAT KY AN TOAN,Bo nho noi bo an toan (NVS),Stop,Co (can ACK HMI),"Ghi NVS that bai","Khong tu phuc hoi - can ACK","Cat SSR+contactor tong, cam bat dau/ap lai me","Khong tu xu ly - goi ky thuat","Ngay lap tuc"
315,MAT NHAT KY ME,Log chi tiet me ap,Canh bao,Khong,"Log chi tiet khong ghi duoc","Bao ngay","Khong khoa gi (khong anh huong an toan)","Theo doi them",""
